code	*Id	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	uiRangeType	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
pois-min	24	1	1	poisonmindam																												+# to Minimum Poison Damage		Min #	Max #		0
pois-max	25	1	1	poisonmaxdam																												+# to Maximum Poison Damage		Min #	Max #		0
pois-len	26	1	1	poisonlength																														Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-min	27	1	5																													+# to Minimum Damage		Min #	Max #		0
dmg-max	28	1	6																													+# to Maximum Damage		Min #	Max #		0
dmg%	29	1	7																													+#% Enhanced Damage		Min %	Max %		0
dmg-to-mana	30	1	1	item_damagetomana																												#% Damage Taken Goes To Mana		Min %	Max %		0
res-fire	31	1	1	fireresist																												Fire Resist +#%		Min %	Max %		0
res-fire-max	32	1	1	maxfireresist																												+#% to Maximum Fire Resist		Min %	Max %		0
res-ltng	33	1	1	lightresist																												Lightning Resist +#%		Min %	Max %		0
res-ltng-max	34	1	1	maxlightresist																												+#% to Maximum Lightning Resist		Min %	Max %		0
res-cold	35	1	1	coldresist																												Cold Resist +#%		Min %	Max %		0
res-cold-max	36	1	1	maxcoldresist																												+#% to Maximum Cold Resist		Min %	Max %		0
res-mag	37	1	1	magicresist																												Magic Resist +#%		Min %	Max %		0
res-mag-max	38	1	1	maxmagicresist																												+#% to Maximum Magic Resist		Min %	Max %		0
res-pois	39	1	1	poisonresist																												Poison Resist +#%		Min %	Max %		0
res-pois-max	40	1	1	maxpoisonresist																												+#% to Maximum Poison Resist		Min %	Max %		0
res-all	41	1	1	fireresist			3	lightresist			3	coldresist			3	poisonresist																All Resistances +#		Min %	Max %		0
res-all-max	42	1	1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist			3	maxmagicresist														Min %	Max %	Currently Not Used	0
abs-fire%	43	1	1	item_absorbfire_percent																												+# Fire Absorb		Min #	Max #		0
abs-fire	44	1	1	item_absorbfire																												Fire Absorb #%		Min %	Max %		0
abs-ltng%	45	1	1	item_absorblight_percent																												+# Lightning Absorb		Min #	Max #		0
abs-ltng	46	1	1	item_absorblight																												Lightning Absorb #%		Min %	Max %		0
abs-mag%	47	1	1	item_absorbmagic_percent																												+# Magic Absorb		Min #	Max #		0
abs-mag	48	1	1	item_absorbmagic																												Magic Absorb #%		Min %	Max %		0
abs-cold%	49	1	1	item_absorbcold_percent																												+# Cold Absorb		Min #	Max #		0
abs-cold	50	1	1	item_absorbcold																												Cold Absorb #%		Min %	Max %		0
dur	51	1	1	maxdurability																												Durability: # of #		Min #	Max #		0
dur%	52	1	13	item_maxdurability_percent																												Increase Maximum Durability #%		Min %	Max %		0
regen	53	1	1	hpregen																												Replenish Life +#		Min #	Max #		0
thorns	54	1	1	item_attackertakesdamage																												Attacker Takes Damage of #		Min #	Max #		0
swing1	55	1	8	item_fasterattackrate																												+#% Increased Attack Speed		Min %	Max %		0
swing2	56	1	8	item_fasterattackrate																												+#% Increased Attack Speed		Min %	Max %		0
swing3	57	1	8	item_fasterattackrate																												+#% Increased Attack Speed		Min %	Max %		0
gold%	58	1	1	item_goldbonus																												#% Extra Gold from Monsters		Min %	Max %		0
mag%	59	1	1	item_magicbonus																												#% Better Chance of Getting Magic Items		Min %	Max %		0
knock	60	1	1	item_knockback																												Knockback		1	1		0
regen-stam	61	1	1	staminarecoverybonus																												Heal Stamina Plus #%		Min %	Max %		0
regen-mana	62	1	1	manarecoverybonus																												Regenerate Mana #%		Min %	Max %		0
stam	63	1	1	maxstamina																												+# Maximum Stamina		Min #	Max #		0
time	64	1	1	item_timeduration																														Min #	Max #	Currently Not Used	0
manasteal	65	1	1	manadrainmindam																												#% Mana stolen per hit		Min #	Max #		0
lifesteal	66	1	1	lifedrainmindam																												#% Life stolen per hit		Min #	Max #		0
ama	67	1	21	item_addclassskills		0																										+# to Amazon Skill Levels		Min #	Max #		0
pal	68	1	21	item_addclassskills		3																										+# to Paladin Skill Levels		Min #	Max #		0
nec	69	1	21	item_addclassskills		2																										+# to Necromancer Skill Levels		Min #	Max #		0
sor	70	1	21	item_addclassskills		1																										+# to Sorceress Skill Levels		Min #	Max #		0
bar	71	1	21	item_addclassskills		4																										+#  to Barbarian Skill Levels		Min #	Max #		0
herb	72	1	1	item_doubleherbduration																														Min #	Max #	Currently Not Used	0
light	73	1	1	item_lightradius																												+# to Light Radius		Min #	Max #		0
color	74	1	1	item_lightcolor	1																													Min #	Max #	Currently Not Used	0
ease	75	1	1	item_req_percent																												Requirements -#%		Min %	Max %		0
move1	76	1	8	item_fastermovevelocity																												+#% Faster Run/Walk		Min %	Max %		0
move2	77	1	8	item_fastermovevelocity																												+#% Faster Run/Walk		Min %	Max %		0
move3	78	1	8	item_fastermovevelocity																												+#% Faster Run/Walk		Min %	Max %		0
balance1	79	1	8	item_fastergethitrate																												+#% Faster Hit Recovery		Min %	Max %		0
balance2	80	1	8	item_fastergethitrate																												+#% Faster Hit Recovery		Min %	Max %		0
balance3	81	1	8	item_fastergethitrate																												+#% Faster Hit Recovery		Min %	Max %		0
block1	82	1	8	item_fasterblockrate																												+#% Faster Block Rate		Min %	Max %		0
block2	83	1	8	item_fasterblockrate																												+#% Faster Block Rate		Min %	Max %		0
block3	84	1	8	item_fasterblockrate																												+#% Faster Block Rate		Min %	Max %		0
cast1	85	1	8	item_fastercastrate																												+#% Faster Cast Rate		Min %	Max %		0
cast2	86	1	8	item_fastercastrate																												+#% Faster Cast Rate		Min %	Max %		0
cast3	87	1	8	item_fastercastrate																												+#% Faster Cast Rate		Min %	Max %		0
res-pois-len	88	1	1	item_poisonlengthresist																												Poison Length Reduced by #%		Min %	Max %		0
dmg	89	1	1	item_normaldamage																												Damage +#		Min #	Max #		0
howl	90	1	1	item_howl																												Hit Causes Monster to Flee #%		Min %/128	Max %/128		0
stupidity	91	1	1	item_stupidity																												Hit Blinds Target +#		Min #	Max #		0
ignore-ac	92	1	1	item_ignoretargetac																												Ignore Target's Defense		1	1		0
reduce-ac	93	1	1	item_fractionaltargetac																												-#% Target Defense		Min #	Max #		0
noheal	94	1	1	item_preventheal																												Prevent Monster Heal		1	1		0
half-freeze	95	1	1	item_halffreezeduration																												Half Freeze Duration		1	1		0
att%	96	1	1	item_tohit_percent																												#% Bonus to Attack Rating		Min %	Max %		0
dmg-ac	97	1	1	item_damagetargetac																												-# to Monster Defense Per Hit		Min #	Max #		0
dmg-demon	98	1	1	item_demondamage_percent																												+#% Damage to Demons		Min %	Max %		0
dmg-undead	99	1	1	item_undeaddamage_percent																												+#% Damage to Undead		Min %	Max %		0
att-demon	100	1	1	item_demon_tohit																												+# to Attack Rating against Demons		Min #	Max #		0
att-undead	101	1	1	item_undead_tohit																												+# to Attack Rating against Undead		Min #	Max #		0
throw	102	1	1	item_throwable																														1	1	Currently Not Used	0
fireskill	103	1	21	item_elemskill		1	3	item_elemskillfire																								+# to Fire Skills		Min #	Max #		0
allskills	104	1	1	item_allskills																												+# to All Skills		Min #	Max #		0
light-thorns	105	1	1	item_attackertakeslightdamage																												Attacker Takes Lightning Damage of #		Min #	Max #		0
freeze	106	1	1	item_freeze																												Freezes Target +#		Min #	Max #		0
openwounds	107	1	1	item_openwounds																												#% Chance of Open Wounds		Min %	Max %		0
crush	108	1	1	item_crushingblow																												#% Chance of Crushing Blow		Min %	Max %		0
kick	109	1	1	item_kickdamage																												+# Kick Damage		Min %	Max %		0
mana-kill	110	1	1	item_manaafterkill																												+# to Mana after each Kill		Min #	Max #		0
demon-heal	111	1	1	item_healafterdemonkill																												+# Life after each Demon Kill		Min #	Max #		0
bloody	112	1	1	item_extrablood																														Min #	Max #	Visuals Only	0
deadly	113	1	1	item_deadlystrike																												#% Deadly Strike		Min #	Max #		0
slow	114	1	1	item_slow																												Slows Target by #%		Min #	Max #		0
nofreeze	115	1	1	item_cannotbefrozen																												Cannot Be Frozen		1	1		0
stamdrain	116	1	1	item_staminadrainpct																												#% Slower Stamina Drain		Min #	Max #		0
reanimate	117	1	24	item_reanimate																												Reanimate As: [Returned]	monstats.txt hcIdx	Min %	Max %		0
pierce	118	1	1	item_pierce																												Piercing Attack		Min %	Max %		0
magicarrow	119	1	1	item_magicarrow																												Fires Magic Arrows		Min #	Max #		0
explosivearrow	120	1	1	item_explosivearrow																												Fires Explosive Arrows or Bolts		Min #	Max #		0
Expansion	121																																				0
dru	122	1	21	item_addclassskills		5																										+# to Druid Skill Levels		Min #	Max #		0
ass	123	1	21	item_addclassskills		6																										+# to Assassin Skill Levels		Min #	Max #		0
skill	124	1	22	item_singleskill																											5	+# to [Skill] ([Class] only)	Skill	Min #	Max #		0
skilltab	125	1	10	item_addskill_tab																												+# to [Class Skill Tab] Skills	Class Skill Tab ID	Min #	Max #	"[Class Skill Tab ID] = (Amazon = 0-2, Sorceress = 3-5, Necromancer = 6-8, Paladin = 9-11, Barbarian = 12-14, Druid = 15-17,  Assassin = 18-20)"	0
aura	126	1	22	item_aura			24	item_aura_display																								Level # [Skill] Aura When Equipped	Skill	Min #	Max #		0
att-skill	127	1	11	item_skillonattack																											6	#% Chance to Cast Level # [Skill] on attack	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
hit-skill	128	1	11	item_skillonhit																											6	#% Chance to Cast Level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
gethit-skill	129	1	11	item_skillongethit																											6	#% Chance to Cast Level # [Skill] when struck	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
gembonus	130																																				0
regen-dur	131																																				0
fire-fx	132																																				0
ltng-fx	133																																				0
sock	134	1	14	item_numsockets																												Socketed (#)		Min #	Max #		0
dmg-fire	135	1	15	firemindam			16	firemaxdam																								Adds #-# Fire Damage		Min #	Max #		0
dmg-ltng	136	1	15	lightmindam			16	lightmaxdam																								Adds #-# Lightning Damage		Min #	Max #		0
dmg-mag	137	1	15	magicmindam			16	magicmaxdam																								Adds #-# Magic Damage		Min #	Max #		0
dmg-cold	138	1	15	coldmindam			16	coldmaxdam			17	coldlength																				Adds #-# Cold Damage	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-pois	139	1	15	poisonmindam			16	poisonmaxdam			17	poisonlength																				Adds #-# Poison Damage Over # Seconds	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-throw	140	1	15	item_throw_mindamage			16	item_throw_maxdamage																										Min #	Max #	Currently Not Used	0
dmg-norm	141	1	15	mindamage			16	maxdamage																								Adds #-# Damage		Min #	Max #		0
ac/lvl	142	1	17	item_armor_perlevel																											1	+# Defense (Based on Character Level)	ac/lvl (8ths)				0
ac%/lvl	143	1	17	item_armorpercent_perlevel																											1	+#% Enhanced Defense (Based on Character Level)	#/8 per Level				0
hp/lvl	144	1	17	item_hp_perlevel																											1	+# to Life (Based on Character Level)	#/8 per Level				0
mana/lvl	145	1	17	item_mana_perlevel																											1	+# to Mana (Based on Character Level)	#/8 per Level				0
dmg/lvl	146	1	17	item_maxdamage_perlevel																											1	+# to Maximum Damage (Based on Character Level)	#/8 per Level				0
dmg%/lvl	147	1	17	item_maxdamage_percent_perlevel																											1	+#% Enhanced Maximum Damage (Based on Character Level)	#/8 per Level				0
str/lvl	148	1	17	item_strength_perlevel																											1	+# to Strength (Based on Character Level)	#/8 per Level				0
dex/lvl	149	1	17	item_dexterity_perlevel																											1	+# to Dexterity (Based on Character Level)	#/8 per Level				0
enr/lvl	150	1	17	item_energy_perlevel																											1	+# to Energy (Based on Character Level)	#/8 per Level			Currently Not Used	0
vit/lvl	151	1	17	item_vitality_perlevel																											1	+# to Vitality (Based on Character Level)	#/8 per Level				0
att/lvl	152	1	17	item_tohit_perlevel																											1	+# to Attack Rating (Based on Character Level)	#/2 per Level				0
att%/lvl	153	1	17	item_tohitpercent_perlevel																											1	#% Bonus to Attack Rating (Based on Character Level)	#/2 per Level				0
dmg-cold/lvl	154	1	17	item_cold_damagemax_perlevel																											1	+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-fire/lvl	155	1	17	item_fire_damagemax_perlevel																											1	+# to Maximum Fire Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-ltng/lvl	156	1	17	item_ltng_damagemax_perlevel																											1	+# to Maximum Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-pois/lvl	157	1	17	item_pois_damagemax_perlevel																											1	+# to Maximum Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
res-cold/lvl	158	1	17	item_resist_cold_perlevel																											1	Cold Resist +#% (Based on Character Level)	#/8 per Level				0
res-fire/lvl	159	1	17	item_resist_fire_perlevel																											1	Fire Resist +#% (Based on Character Level)	#/8 per Level				0
res-ltng/lvl	160	1	17	item_resist_ltng_perlevel																											1	Lightning Resist +#% (Based on Character Level)	#/8 per Level				0
res-pois/lvl	161	1	17	item_resist_pois_perlevel																											1	Poison Resist +#% (Based on Character Level)	#/8 per Level				0
abs-cold/lvl	162	1	17	item_absorb_cold_perlevel																											1	Absorbs Cold Damage (Based on Character Level)	#/8 per Level				0
abs-fire/lvl	163	1	17	item_absorb_fire_perlevel																											1	Absorbs Fire Damage (Based on Character Level)	#/8 per Level				0
abs-ltng/lvl	164	1	17	item_absorb_ltng_perlevel																											1	Absorbs Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
abs-pois/lvl	165	1	17	item_absorb_pois_perlevel																											1	Absorbs Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
thorns/lvl	166	1	17	item_thorns_perlevel																											1	Attacker Takes Damage of # (Based on Character Level)	#/8 per Level				0
gold%/lvl	167	1	17	item_find_gold_perlevel																											1	#% Extra Gold from Monsters (Based on Character Level)	#/8 per Level				0
mag%/lvl	168	1	17	item_find_magic_perlevel																											1	#% Better Chance of Getting Magic Items (Based on Character Level)	#/8 per Level				0
regen-stam/lvl	169	1	17	item_regenstamina_perlevel																											1	Heal Stamina Plus #% (Based on Character Level)	#/8 per Level				0
stam/lvl	170	1	17	item_stamina_perlevel																											1	+# Maximum Stamina (Based on Character Level)	#/8 per Level				0
dmg-dem/lvl	171	1	17	item_damage_demon_perlevel																											1	+#% Damage to Demons (Based on Character Level)	#/8 per Level				0
dmg-und/lvl	172	1	17	item_damage_undead_perlevel																											1	+#% Damage to Undead (Based on Character Level)	#/8 per Level				0
att-dem/lvl	173	1	17	item_tohit_demon_perlevel																											1	+# to Attack Rating against Demons (Based on Character Level)	#/2 per Level				0
att-und/lvl	174	1	17	item_tohit_undead_perlevel																											1	+# to Attack Rating against Undead (Based on Character Level)	#/2 per Level				0
crush/lvl	175	1	17	item_crushingblow_perlevel																											1	#% Chance of Crushing Blow (Based on Character Level)	#/8 per Level			Currently Not Used	0
wounds/lvl	176	1	17	item_openwounds_perlevel																											1	#% Chance of Open Wounds (Based on Character Level)	#/8 per Level			Currently Not Used	0
kick/lvl	177	1	17	item_kick_damage_perlevel																											1	+# Kick Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
deadly/lvl	178	1	17	item_deadlystrike_perlevel																											1	#% Deadly Strike (Based on Character Level)	#/8 per Level				0
gems%/lvl	179																																				0
rep-dur	180	1	17	item_replenish_durability																												Repairs 1 durability in # seconds	Repair Speed			Repair 1 Durability every 100/[Repair Speed] seconds	0
rep-quant	181	1	17	item_replenish_quantity																												Replenishes quantity	Repair Speed			Replenish 1 Quantity every 100/[Repair Speed] seconds	0
stack	182	1	1	item_extra_stack																												Increased Stack Size		Min #	Max #		0
item%	183																																				0
dmg-slash	184																																				0
dmg-slash%	185																																				0
dmg-crush	186																																				0
dmg-crush%	187																																				0
dmg-thrust	188																																				0
dmg-thrust%	189																																				0
abs-slash	190																																				0
abs-crush	191																																				0
abs-thrust	192																																				0
abs-slash%	193																																				0
abs-crush%	194																																				0
abs-thrust%	195																																				0
ac/time	196	1	18	item_armor_bytime																												+# Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
ac%/time	197	1	18	item_armorpercent_bytime																												+#% Enhanced Defense (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
hp/time	198	1	18	item_hp_bytime																												+# to Life (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
mana/time	199	1	18	item_mana_bytime																												+# to Mana (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg/time	200	1	18	item_maxdamage_bytime																												+# to Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg%/time	201	1	18	item_maxdamage_percent_bytime																												+#% Enhanced Maximum Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
str/time	202	1	18	item_strength_bytime																												+# to Strength (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dex/time	203	1	18	item_dexterity_bytime																												+# to Dexterity (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
enr/time	204	1	18	item_energy_bytime																												+# to Energy (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
vit/time	205	1	18	item_vitality_bytime																												+# to Vitality (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att/time	206	1	18	item_tohit_bytime																												+# to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att%/time	207	1	18	item_tohitpercent_bytime																												#% Bonus to Attack Rating (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-cold/time	208	1	18	item_cold_damagemax_bytime																												+# to Maximum Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-fire/time	209	1	18	item_fire_damagemax_bytime																												+# to Maximum Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-ltng/time	210	1	18	item_ltng_damagemax_bytime																												+# to Maximum Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-pois/time	211	1	18	item_pois_damagemax_bytime																												+# to Maximum Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-cold/time	212	1	18	item_resist_cold_bytime																												Cold Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-fire/time	213	1	18	item_resist_fire_bytime																												Fire Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-ltng/time	214	1	18	item_resist_ltng_bytime																												Lightning Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
res-pois/time	215	1	18	item_resist_pois_bytime																												Poison Resist +#% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-cold/time	216	1	18	item_absorb_cold_bytime																												Absorbs Cold Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-fire/time	217	1	18	item_absorb_fire_bytime																												Absorbs Fire Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-ltng/time	218	1	18	item_absorb_ltng_bytime																												Absorbs Lightning Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
abs-pois/time	219	1	18	item_absorb_pois_bytime																												Absorbs Poison Damage (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
gold%/time	220	1	18	item_find_gold_bytime																												#% Extra Gold from Monsters (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
mag%/time	221	1	18	item_find_magic_bytime																												#% Better Chance of Getting Magic Items (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
regen-stam/time	222	1	18	item_regenstamina_bytime																												Heal Stamina Plus #% (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
stam/time	223	1	18	item_stamina_bytime																												+# Maximum Stamina (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-dem/time	224	1	18	item_damage_demon_bytime																												+#% Damage to Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
dmg-und/time	225	1	18	item_damage_undead_bytime																												+#% Damage to Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att-dem/time	226	1	18	item_tohit_demon_bytime																												+# to Attack Rating against Demons (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
att-und/time	227	1	18	item_tohit_undead_bytime																												+# to Attack Rating against Undead (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min #	Max #	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
crush/time	228	1	18	item_crushingblow_bytime																												#% Chance of Crushing Blow (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
wounds/time	229	1	18	item_openwounds_bytime																												#% Chance of Open Wounds (Increases near [Day/Dusk/Night/Dawn])	Time Period for Max value	Min %	Max %	"(0=Day, 1=Dusk, 2=Night, 3=Dawn) Min value starts at opposite Time Period (Linear Increase) Currently Not Being Used"	0
