monster	*index	hirelingAlternateVoice	*monster name	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	consumestat1	consumepar1	consumecalc1	consumestat2	consumepar2	consumecalc2	consumestat3	consumepar3	consumecalc3	consumestat4	consumepar4	consumecalc4	consumestat5	consumepar5	consumecalc5	numunderlingcalc	bindchancecalc	BoundStat1	BoundCalc1	BoundStat2	BoundCalc2	BoundStat3	BoundCalc3	BoundStat4	BoundCalc4	BoundStat5	BoundCalc5
zombie2	6		Hungry Dead	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							poisonresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
zombie3	7		Ghoul	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							poisonresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
zombie4	8		Drowned Carcass	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							poisonresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
zombie5	9		Plague Bearer	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							poisonresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead1	10		Afflicted	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead2	11		Tainted	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead3	12		Misshapen	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead4	13		Disfigured	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead5	14		Damned	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead6	581		Afflicted	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead7	582		Tainted	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead8	583		Misshapen	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead9	584		Disfigured	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
bighead10	585		Damned	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lightresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
foulcrow1	15		Foul Crow	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow2	16		Blood Hawk	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow3	17		Black Raptor	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow4	18		Cloud Stalker	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow5	591		Foul Crow	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow6	592		Blood Hawk	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow7	593		Black Raptor	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
foulcrow8	594		Cloud Stalker	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							tohit		sksrc('Consume'.lvl)*10+100													0	pcl1?pcl2:0										
fallen1	19		Fallen	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen2	20		Carver	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen3	21		Devilkin	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen4	22		Dark One	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen5	23		Warped One	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen6	643		Carver	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen7	644		Devilkin	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
fallen8	645		Dark One	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							fireresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
brute2	24		Brute	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							coldresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
brute3	25		Yeti	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							coldresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
brute4	26		Crusher	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							coldresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
brute5	27		Wailing Beast	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							coldresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
brute1	28		Gargantuan Beast	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							coldresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider1	29		Sand Raider	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider2	30		Marauder	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider3	31		Invader	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider4	32		Infidel	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider5	33		Assailant	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider6	600		Marauder	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider7	601		Infidel	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider8	602		Sand Raider	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider9	603		Invader	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandraider10	604		Assailant	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fasterattackrate		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
claygolemmon	34		Mud Golem	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_slow		sksrc('Consume'.lvl)/3+5													0	pcl1?pcl2:0										
bloodgolemmon	35		Blood Golem	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							lifedrainmindam		sksrc('Consume'.lvl)/3+5	lifedrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
irongolemmon	36		Iron Golem	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							armor_override_percent		sksrc('Consume'.lvl)/4+5													0	pcl1?pcl2:0										
firegolemmon	37		Fire Golem	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_absorbfire_percent		sksrc('Consume'.lvl)/15+2													0	pcl1?pcl2:0										
wraith1	38		Ghost	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith2	39		Wraith	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith3	40		Specter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith4	41		Apparition	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith5	42		Dark Shape	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith6	632		Ghost	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith7	633		Wraith	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith8	634		Specter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
wraith9	899		Specter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							manadrainmindam		sksrc('Consume'.lvl)/3+5	manadrainmaxdam		sksrc('Consume'.lvl)/3+5										0	pcl1?pcl2:0										
corruptrogue1	43		Dark Hunter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
corruptrogue2	44		Vile Hunter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
corruptrogue3	45		Dark Stalker	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
corruptrogue4	46		Black Rogue	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
corruptrogue5	47		Flesh Hunter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
corruptrogue6	888		Flesh Hunter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							toblock		sksrc('Consume'.lvl)/10+2													0	pcl1?pcl2:0										
baboon1	48		Dune Beast	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon2	49		Rock Dweller	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon3	50		Jungle Hunter	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon4	51		Doom Ape	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon5	52		Temple Guard	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon6	295		Night Marauder	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon7	666		Temple Guard	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
baboon8	667		Temple Guard	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							strength		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman1	53		Moon Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman2	54		Night Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman3	55		Blood Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman4	56		Hell Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman5	57		Death Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman6	586		Moon Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman7	587		Night Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman8	588		Hell Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman9	589		Blood Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
goatman10	590		Death Clan	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							vitality		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman1	58		Fallen Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman2	59		Carver Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman3	60		Devilkin Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman4	61		Dark Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman5	62		Warped Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman6	646		Carver Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman7	647		Devilkin Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
fallenshaman8	648		Dark Shaman	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							energy		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat1	63		Quill Rat	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat2	64		Spike Fiend	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat3	65		Thorn Beast	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat4	66		Razor Spine	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat5	67		Bush Barb	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat6	606		Quill Rat	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat7	607		Spike Fiend	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
quillrat8	608		Razor Spine	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							dexterity		sksrc('Consume'.lvl)*2+20													0	pcl1?pcl2:0										
sandmaggot1	68		Sand Maggot	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot2	69		Rock Worm	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot3	70		Devourer	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot4	71		Giant Lamprey	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot5	72		Blood Maggot	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot6	680		Blood Maggot	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
sandmaggot7	883		Blood Maggot	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_poisonlengthresist		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
clawviper1	73		Tomb Viper	((sksrc('Bind Demon'.sctk)%12)==0)	frame cap condition check	sksrc('Bind Demon'.dm34)	skill related % chance increase							item_fastermovevelocity		sksrc('Consume'.lvl)+10													0	pcl1?pcl2:0										
